"Fuel Consumption (ktoe) by Sector, Fuel Type and Year",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Sod peat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Sum of all petroleum products,696,712,775,782,984,983,872,998,999,1081,1201,1171,1100,1098,1098,1136,1024,1007,998,765,757,576,514,545,478,464,484
,Crude oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Refinery gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kerosene,17,18,17,19,33,42,57,62,74,94,90,101,105,121,120,124,124,124,138,143,112,89,76,78,74,86,91
,Jet kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fuel oil,422,398,479,489,625,582,545,598,591,631,673,571,516,480,483,472,372,359,331,259,311,170,109,138,75,41,35
,LPG,62,66,64,67,72,71,69,70,76,79,86,91,88,89,92,103,102,103,113,80,103,99,96,116,104,106,113
,Gasoil/diesel/DERV,148,159,162,159,184,210,164,172,174,185,190,191,193,197,186,199,190,181,196,166,157,150,143,124,111,107,113
,Petroleum coke,47,69,51,46,69,76,36,96,84,91,161,216,197,210,215,237,235,239,220,115,73,68,91,88,113,124,133
,Naphta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
,Bitumen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,White spirit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lubricants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Natural gas,358,377,349,389,360,369,373,380,401,405,471,441,432,437,477,462,527,518,514,430,446,574,626,621,685,767,762
,Sum of all renewable energies,63,64,59,60,62,62,71,72,92,92,100,113,113,108,129,163,164,153,139,140,152,142,135,141,171,179,173
,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Biomass,61,61,57,57,59,59,68,68,87,87,96,109,109,104,124,159,162,151,138,136,148,137,130,138,168,175,171
,Landfill gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Biogas,2,3,3,4,2,3,4,4,4,4,4,4,4,4,5,4,2,1,1,4,5,5,5,3,3,3,2
,Liquid Biofuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Electricity,386,398,420,435,462,496,532,569,609,625,665,667,672,626,592,660,773,729,686,740,783,816,788,799,808,847,872
,Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Non renewable waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,14,27,39,42,44,42
Industry- non energy mining,Sum of all fuel products,37,93,100,108,127,142,133,156,167,165,178,191,168,149,128,151,167,148,121,113,109,109,104,101,99,102,106
,Sum of all coal products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bituminous coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Anthracite and manufactured ovoids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lignite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum of all peat products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Milled peat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sod peat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Briquettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum of all petroleum products,25,59,59,58,72,78,60,74,73,78,93,118,90,69,44,77,91,79,55,48,44,40,37,34,30,30,31
,Crude oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Refinery gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kerosene,0,1,1,1,1,1,2,2,2,3,3,2,2,2,1,12,16,6,9,5,4,3,2,2,2,3,3
,Jet kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
