"New and Secondhand Vehicles (Number) by Taxation Class, Year and Type of Fuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,2011,,,,,,2012,,,,,,2013,,,,,,2014,,,,,,2015,,,,,,2016,,,,,,2017,,,,,
,All fuel types,Petrol,Diesel,Other fuel types,Electric,Hybrid,All fuel types,Petrol,Diesel,Other fuel types,Electric,Hybrid,All fuel types,Petrol,Diesel,Other fuel types,Electric,Hybrid,All fuel types,Petrol,Diesel,Other fuel types,Electric,Hybrid,All fuel types,Petrol,Diesel,Other fuel types,Electric,Hybrid,All fuel types,Petrol,Diesel,Other fuel types,Electric,Hybrid,All fuel types,Petrol,Diesel,Other fuel types,Electric,Hybrid,All fuel types,Petrol,Diesel,Other fuel types,Electric,Hybrid
All Private Cars,124010,37934,81787,3056,23,1210,128081,31002,94918,1374,52,735,114725,23888,88668,1199,165,805,121110,25849,94176,8,67,1010,145224,32098,111462,35,273,1356,168329,41759,123951,11,571,2037,212069,52087,155206,8,608,4160,219553,55855,155212,2,1092,7392
